의료기관명,소재지,전화번호,병상수,개설일자,구군,종별
큰치과병원,"울산광역시 북구 매산4로 17, 1~3층 (신천동)",052-221-2875,0,2019-11-01,북구,치과병원
동강한방병원,울산광역시 남구 돋질로 80 (달동),052-241-3114,36,2008-02-29,남구,한방병원
새봄한방병원,울산광역시 남구 중앙로 234 (신정동),052-260-9000,71,2023-07-21,남구,한방병원
울산자생한방병원,"울산광역시 남구 삼산로 51 (신정동, B1,1,3,5~7층)",052-701-3005,87,2013-12-31,남구,한방병원
자연뜰한방병원,"울산광역시 남구 수암로 138, 9,11층 (야음동)",052-933-1075,58,2020-08-18,남구,한방병원
당당한방병원,"울산광역시 남구 삼산로 247, 마마파파엔베이비빌딩 (달동)",052-702-7777,70,2020-09-29,남구,한방병원
의료법인 기쁨의료재단 엠디한방병원,"울산광역시 북구 호계로 332-1, 현대하이플러스 2,4층 (신천동)",052-286-3355,39,2015-07-01,북구,한방병원
범서사랑요양병원,"울산광역시 울주군 범서읍 구영로 94, 엠프라자 3,7,8층",052-211-9393,179,2014-02-27,울주군,요양병원
이손요양병원,울산광역시 울주군 삼남읍 하방로 39,055-780-1000,412,2005-03-28,울주군,요양병원
언양요양병원,울산광역시 울주군 삼남읍 반구대로 785,052-262-5200,163,1999-07-05,울주군,요양병원
따사랑요양병원,"울산광역시 남구 봉월로 161, 2-5층 (신정동)",052-261-5567,128,2014-03-20,남구,요양병원
BB요양병원,울산광역시 북구 염포로 353 (양정동),052-716-1020,185,2016-11-11,북구,요양병원
보람요양병원,울산광역시 울주군 온양읍 덕남로 233,052-231-8200,168,1992-04-28,울주군,요양병원
고려요양병원,울산광역시 울주군 온양읍 온양로 3,052-239-0669,111,2003-10-28,울주군,요양병원
의료법인주보배의료재단 주성혜요양병원,"울산광역시 중구 도화골14길 3, 1-5층 (복산동)",052-700-8275,196,2012-11-08,중구,요양병원
언양아하브요양병원,울산광역시 울주군 상북면 삽재로 400,052-264-6100,72,2006-01-02,울주군,요양병원
강남요양병원,울산광역시 남구 중앙로 187-1 (신정동),052-260-3525,75,2011-08-26,남구,요양병원
의료법인 옐림의료재단 농소요양병원,울산광역시 북구 아진로 78 (상안동),052-282-7002,142,2013-02-05,북구,요양병원
율제요양병원,"울산광역시 남구 중앙로 92, 지하1~지상10층 (신정동)",052-276-7000,130,2023-08-25,남구,요양병원
의료법인 청남의료재단 세민에스요양병원,울산광역시 중구 내황4길 11 (반구동),052-293-2000,320,2014-09-12,중구,요양병원
의료법인 건강한의료재단 울산연세요양병원,"울산광역시 울주군 범서읍 천상5길 10-5, 연세요양병원",052-248-8900,174,2016-05-19,울주군,요양병원
산광역시립노인병원,울산광역시 울주군 온양읍 덕남로 243,052-231-7900,149,2004-05-31,울주군,요양병원
성모요양병원,울산광역시 남구 돋질로 293 (삼산동),052-261-5033,166,2009-01-08,남구,요양병원
노블레스요양병원,"울산광역시 남구 돋질로 277, 지하1층,지상1-8층 (삼산동)",052-712-1000,169,2020-06-30,남구,요양병원
세나요양병원,"울산광역시 북구 호계로 296 (호계동, 세나병원)",052-290-2000,162,2016-05-23,북구,요양병원
의료법인 우아의료재단 길메리요양병원,울산광역시 중구 서원1길 106 (반구동),052-296-0030,153,2011-09-01,중구,요양병원
평화요양병원,"울산광역시 울주군 언양읍 읍성로 11, 평화요양병원(별관 방천1길 13)",052-262-3229,231,2005-07-21,울주군,요양병원
효성요양병원,울산광역시 중구 학산로 5 (학산동),052-288-6100,146,2017-03-10,중구,요양병원
위너스자연요양병원,"울산광역시 중구 함월20길 89 (성안동, 위너스자연요양병원)",052-245-0002,76,2012-07-23,중구,요양병원
정안요양병원,울산광역시 북구 관문길 251 (천곡동),052-295-2888,148,2017-11-28,북구,요양병원
상록수요양병원,"울산광역시 동구 진성8길 94, 상록수요양병원 (전하동)",052-232-0100,216,2010-03-11,동구,요양병원
새생명요양병원,울산광역시 남구 돋질로 84 (달동),052-276-9789,147,2007-07-04,남구,요양병원
의)우아의료재단 달동길메리요양병원,"울산광역시 남구 돋질로 146 (달동, 달동길메리요양병원)",052-996-0030,195,2017-01-06,남구,요양병원
구인의료재단법인 오복요양병원,울산광역시 남구 두왕로 335 (신정동),052-266-5400,115,2016-06-14,남구,요양병원
양지요양병원,울산광역시 남구 월평로 3(신정동),052-256-7770,226,2013-06-19,남구,요양병원
임요양병원,울산광역시 남구 삼산로 11 (신정동),052-273-7114,199,2010-05-19,남구,요양병원
삼호요양병원,"울산광역시 남구 북부순환도로 58, 1~7층 (무거동)",052-277-3001,199,2016-09-05,남구,요양병원
의료법인 세연의료재단 무거연세요양병원,"울산광역시 남구 대학로 148, 2~7층 (무거동)",052-223-8866,194,2014-07-16,남구,요양병원
좋은요양병원,"울산광역시 남구 남중로 132, 2~5층 (삼산동)",052-268-7007,149,2015-04-14,남구,요양병원
국민요양병원,울산광역시 남구 번영로 15 (야음동),052-226-0100,199,2009-05-19,남구,요양병원
의료법인 청산의료재단 효원요양병원,울산광역시 남구 봉월로 155 (신정동),052-950-7500,178,2006-03-21,남구,요양병원
의료법인 득명의료재단 씨엘요양병원,"울산광역시 남구 수암로128번길 7, 씨엘요양병원 1~4층, 6층 (야음동)",052-242-1234,260,2013-07-01,남구,요양병원
복음요양병원,울산광역시 북구 제내1길 6 (신천동),052-268-7000,185,2020-06-01,북구,요양병원
의료법인 월촌의료재단 해솔요양병원,"울산광역시 북구 당수골5길 41-6, 지하1~지상4층 (호계동)",052-260-5577,120,2023-04-12,북구,요양병원
방어진마린요양병원,울산광역시 동구 중진길 60(방어동),052-911-9988,198,2016-05-27,동구,요양병원
윤문한마취통증의학과의원,"울산광역시 남구 삼산로 25-1, 4층 (신정동)",052-268-2370,0,1997-05-12,남구,의원
최형경내과의원,"울산광역시 동구 대학길 71, 2층층 (화정동)",052-233-8275,0,2000-02-01,동구,의원
손석호내과의원,"울산광역시 동구 진성14길 128, 3층 (전하동)",052-235-8275,0,2001-03-16,동구,의원
우리이비인후과의원,"울산광역시 동구 대학길 40, 2층 (화정동)",052-252-7533,0,2004-03-24,동구,의원
코넬비뇨기과의원,"울산광역시 남구 삼산로 136, 2층 (달동)",052-265-7575,0,2007-04-05,남구,의원
구영성모안과의원,"울산광역시 울주군 범서읍 구영로 86, 302호 (GM프라자)",052-246-8275,0,2008-12-23,울주군,의원
조석수비뇨기과의원,"울산광역시 중구 번영로 485, 3층 (약사동)",052-296-0075,0,2017-10-27,중구,의원
정안과의원,"울산광역시 남구 북부순환도로 13, 2층 (무거동)",052-247-8275,0,1998-11-23,남구,의원
신내과의원,울산광역시 동구 방어진순환도로 651 (일산동),052-252-9477,24,2013-01-10,동구,의원
인산림의원,울산광역시 중구 번영로 484 (반구동),052-286-9788,0,2013-09-24,중구,의원
미소드림의원,"울산광역시 남구 돋질로302번길 31, 4층 (삼산동)",052-265-1469,0,2012-08-17,남구,의원
삼성연합가정의학과의원,울산광역시 남구 문수로369번길 65 (신정동),052-271-4550,0,2005-05-11,남구,의원
김영근의원,울산광역시 북구 이화5길 10 (중산동),052-282-3770,0,1996-06-01,북구,의원
고운미의원,"울산광역시 동구 대학길 72, 3층 (화정동)",052-233-5959,0,2002-12-27,동구,의원
김광국내과의원,울산광역시 동구 방어진순환도로 482 (방어동),052-235-3355,0,2003-08-06,동구,의원
정유성류마내과의원,울산광역시 남구 중앙로 263 (신정동),052-258-2583,0,2000-10-09,남구,의원
강남비뇨기과의원,"울산광역시 동구 대학길 50, 2층 (화정동)",052-234-5583,0,2007-05-02,동구,의원
강동오션키즈의원,"울산광역시 북구 산하중앙2로 150, 4층 (산하동)",052-258-1004,0,2020-01-06,북구,의원
명품피부과의원,"울산광역시 중구 번영로 580, 801호 (남외동, Sky M 빌딩)",052-281-7577,0,2010-03-22,중구,의원
참조은내과의원,"울산광역시 남구 수암로 113, 1~2,4층 (신정동)",052-273-7800,0,2001-06-30,남구,의원
닥터에스의원,"울산광역시 중구 번영로 487, 4, 5층 F호 (약사동)",052-710-3382,0,2016-05-04,중구,의원
로뎀나무정신건강의학과의원,"울산광역시 남구 삼산로 216, 7층 (달동, 인성빌딩)",052-260-0023,0,2009-11-06,남구,의원
새현대의원,"울산광역시 북구 천곡길 169, 106동 201호 (천곡동)",052-291-3770,0,2010-08-03,북구,의원
최정미소아청소년과의원,"울산광역시 남구 삼산중로 86, 4, 5층 (삼산동)",052-922-6848,0,2015-03-18,남구,의원
이기호내과의원,울산광역시 북구 염포로 599 (양정동),052-287-6187,0,1997-12-08,북구,의원
현내과의원,"울산광역시 중구 화진길 13-2, 5,6층 (태화동, 리버스위트상가)",052-248-0875,0,2010-03-04,중구,의원
이내과의원,"울산광역시 북구 명촌로 85 (명촌동, 평창리비에르2차아파트)",052-289-1066,0,2004-11-22,북구,의원
센텀재활의학과의원,"울산광역시 북구 제내1길 2 (신천동, 필그린상가 302호)",052-277-2282,0,2012-04-30,북구,의원
방어진의원,울산광역시 동구 동진로 6 (방어동),052-251-5577,0,1994-05-20,동구,의원
울산학문외과의원,울산광역시 북구 호계로 374 (신천동),052-282-1414,9,1994-04-30,북구,의원
에스마리의원,"울산광역시 남구 문수로 331, 6층 (옥동)",052-256-3818,0,2015-07-08,남구,의원
명석준안과의원,"울산광역시 중구 번영로 487, 5층 (약사동)",052-296-7778,0,2006-07-24,중구,의원
드림메디의원,"울산광역시 남구 문수로335번길 6, 3층 (옥동, 길상빌딩)",052-267-8881,0,2013-06-12,남구,의원
이대원안과의원,울산광역시 중구 학성로 95-1(성남동),052-211-2357,0,1990-10-05,중구,의원
한결연합의원,울산광역시 중구 다운로 110(다운동),052-277-2969,0,1997-02-14,중구,의원
양경철성형외과의원,"울산광역시 남구 삼산로 115, 4층 (달동)",052-227-2323,0,2002-07-20,남구,의원
가나의원,"울산광역시 중구 오교6길 7, 2층(학산동)",052-222-3233,0,2007-12-11,중구,의원
신이비인후과의원,"울산광역시 중구 번영로 487, 3층 (약사동, 대호빌딩)",052-294-7582,0,2006-07-03,중구,의원
탑흉부외과의원,울산광역시 남구 번영로 96 (달동),052-266-7077,2,1996-10-12,남구,의원
시민의원,"울산광역시 동구 문재7길 5, 2층 (방어동)",052-201-2800,0,1992-03-28,동구,의원
현대이비인후과의원,울산광역시 동구 방어진순환도로 927-1(서부동),052-252-6595,0,1995-08-16,동구,의원
중앙비뇨기과의원,울산광역시 동구 방어진순환도로 1120-1(서부동),052-235-6565,0,1998-09-09,동구,의원
김종수내과의원,울산광역시 동구 방어진순환도로 1118(서부동),052-232-9090,0,1999-09-27,동구,의원
정병오내과의원,"울산광역시 동구 진성14길 118, 2층 201호 (전하동)",052-235-0067,0,2001-11-20,동구,의원
남목마취통증의학과의원,울산광역시 동구 방어진순환도로 1119(서부동),052-233-8575,0,2002-08-31,동구,의원
연세내과의원,울산광역시 동구 대학길 74(화정동),052-235-7515,0,2002-12-21,동구,의원
언양조정형외과의원,"울산광역시 울주군 언양읍 동문길 65, 3층",052-262-0263,0,2003-03-04,울주군,의원
김종옥이비인후과의원,"울산광역시 남구 신정로 35, 3층 (달동, 선영빌딩)",052-260-0285,0,2002-03-15,남구,의원
제일속건강의원,"울산광역시 울주군 언양읍 헌양길 57-1, 4층",052-263-7585,0,2018-01-24,울주군,의원
이상호이비인후과의원,울산광역시 중구 학성로 99(옥교동),052-211-0017,0,1982-04-30,중구,의원
수앤미정신건강의학과의원,"울산광역시 남구 수암로 108, 2층 (신정동)",052-273-6075,0,2006-05-25,남구,의원
옥동우리이비인후과의원,"울산광역시 남구 문수로 376, 3층 (옥동)",052-258-7588,0,2004-06-09,남구,의원
제일의원,울산광역시 동구 문현로 40-1 (방어동),052-201-5300,0,2003-06-10,동구,의원
닥터디자이너의원,"울산광역시 남구 삼산로 253, KB증권울산사옥 4층 (달동)",052-257-6888,0,2018-01-30,남구,의원
시제이여성의원,"울산광역시 남구 중앙로 243, 5~6층 (신정동)",052-256-5311,0,2003-04-04,남구,의원
김현진산부인과의원,울산광역시 남구 삼산로 257 (달동),052-256-5866,0,2005-07-04,남구,의원
강문규내과의원,"울산광역시 남구 삼산로 283, 소망빌딩 9층 (삼산동)",052-274-9641,0,1997-11-19,남구,의원
구영올바른마취통증의학과의원,"울산광역시 울주군 범서읍 구영로 104, 3층 303호",052-912-1119,0,2021-08-13,울주군,의원
서준영이비인후과의원,"울산광역시 울주군 범서읍 구영로 104, 1층",052-248-5075,0,2009-09-21,울주군,의원
변준영이비인후과의원,울산광역시 남구 북부순환도로 16 (무거동),052-224-7482,0,1999-03-13,남구,의원
원정신건강의학과의원,울산광역시 남구 북부순환도로 24 (무거동),052-249-8070,0,2014-11-03,남구,의원
아로마벨피부과의원,"울산광역시 중구 문화의거리 17, 2층 (성남동)",052-245-8819,0,2015-07-21,중구,의원
울산비비성형외과의원,"울산광역시 남구 삼산로 254, 16층 (달동, S타워)",052-257-5432,0,2017-05-01,남구,의원
서울아산내과의원,"울산광역시 남구 삼산로 272, 3층 301호 (삼산동)",052-267-6961,0,2013-06-26,남구,의원
박안과의원,"울산광역시 남구 대학로 136, 3층 (무거동, 정빌딩)",052-223-4311,0,1995-02-24,남구,의원
메리놀의원,울산광역시 중구 동천6길 8(서동),052-296-7554,0,1994-12-10,중구,의원
화봉정형외과의원,울산광역시 북구 화봉로 75 (화봉동),052-289-1119,0,2001-03-12,북구,의원
윤비뇨기과의원,울산광역시 남구 중앙로 243(신정동),052-268-6363,0,1990-02-06,남구,의원
마마파파베이비산부인과의원,"울산광역시 남구 삼산로 247, 15~17층 (달동, 마마파파&베이비빌딩)",052-258-6006,9,2003-03-20,남구,의원
서울아침의원,"울산광역시 남구 대학로 128, 3층 (무거동, 하늘빌딩)",052-277-0868,0,2003-04-02,남구,의원
소정마취통증의학과의원,"울산광역시 남구 삼산로 266, 12층 (삼산동, 굿모닝클리닉)",052-716-2333,0,2016-10-31,남구,의원
송병수의원,"울산광역시 동구 대학길 35, 2층 (화정동)",052-236-3913,0,1997-11-26,동구,의원
사단법인경찰공제회울산의원,울산광역시 울주군 상북면 봉화로 342,052-263-2041,0,1996-02-16,울주군,의원
정태영이비인후과의원,울산광역시 동구 전하로 2 (전하동),052-233-3803,0,1986-04-09,동구,의원
더편한마취통증의학과의원,울산광역시 중구 번영로 371 (학산동),052-242-3456,0,2016-07-29,중구,의원
홍피부과의원,울산광역시 동구 전하로 2(전하동),052-233-3802,0,1986-04-03,동구,의원
이화산부인과의원,울산광역시 중구 문화의거리 17 (성남동),052-243-6035,0,1986-12-02,중구,의원
홍내과의원,울산광역시 남구 문수로 346(옥동),052-265-7629,0,1992-04-17,남구,의원
정연정산부인과의원,"울산광역시 중구 명륜로 17, 4층 (태화동, SNU우정병원)",052-252-7737,0,2016-05-10,중구,의원
세나산부인과의원,울산광역시 북구 호계로 281 (호계동),052-285-3800,0,2015-08-10,북구,의원
세종의원,"울산광역시 남구 거마로134번길 17, 2층 (신정동, 국제빌딩)",052-267-8500,0,1999-03-02,남구,의원
굿모닝가정의학과의원,울산광역시 중구 다운로 46(다운동),052-277-0212,0,2003-10-07,중구,의원
서울아산 이비인후과의원,"울산광역시 북구 매산로 15, 참조은빌딩 3층 (매곡동)",052-977-1000,0,2018-01-22,북구,의원
본정형외과의원,울산광역시 동구 방어진순환도로 1133 (서부동),052-232-8300,0,2002-01-01,동구,의원
베스트비뇨기과의원,"울산광역시 중구 번영로 574, 5층(남외동)",052-281-3773,0,2008-09-01,중구,의원
경상비뇨기과의원,울산광역시 중구 학성로 92 (성남동),052-245-5488,0,1983-03-07,중구,의원
서동가정의학과의원,울산광역시 중구 동천2길 3(서동),052-297-1128,0,1997-06-28,중구,의원
동산가정의학과의원,울산광역시 중구 평동길 1 (유곡동),052-245-9291,0,1996-03-18,중구,의원
김수현의원,울산광역시 중구 명륜로 75(우정동),052-244-1775,0,2000-04-20,중구,의원
김영애의원,울산광역시 중구 함월6길 66(성안동),052-245-7257,0,1998-08-25,중구,의원
언양훼밀리의원,울산광역시 울주군 언양읍 동문길 58,052-262-1887,0,1996-08-16,울주군,의원
강동의원,울산광역시 북구 동해안로 1441 (정자동),052-298-7534,0,2001-12-21,북구,의원
우리가정의학과의원,울산광역시 북구 화봉로 75(화봉동),052-289-2075,0,2003-05-30,북구,의원
미비뇨기과의원,울산광역시 북구 화봉로 59(화봉동),052-288-3550,0,2003-08-01,북구,의원
열린이비인후과의원,울산광역시 동구 동해안로 27 (동부동),052-291-2975,0,2003-03-24,북구,의원
동부의원,울산광역시 동구 안산로 50(동부동),052-232-3456,0,1994-01-29,동구,의원
호계명안과 의원,"울산광역시 북구 호계로 298, 3층 (호계동)",052-292-8277,0,2009-04-24,북구,의원
서울초이스내과의원,"울산광역시 남구 문수로 376, 2층 (옥동)",052-933-0100,0,2023-04-14,남구,의원
백인정형외과의원,울산광역시 울주군 언양읍 남문길 13-4,052-262-6900,0,2007-01-11,울주군,의원
울산숲정신건강의학과의원,"울산광역시 북구 호계로 292, 3층 302호 (호계동)",052-281-7582,0,2017-09-07,북구,의원
연세피움의원,"울산광역시 북구 매산로 15, 4층 (매곡동)",052-281-0707,0,2018-02-14,북구,의원
이용하비뇨기과의원,울산광역시 동구 방어진순환도로 787(전하동),052-251-5044,0,1983-06-22,동구,의원
한양마취통증의학과의원,울산광역시 북구 호계로 277 (호계동),052-293-5588,0,2015-08-03,북구,의원
서울빙빙이비인후과의원,"울산광역시 중구 번영로 564, 6층 (남외동)",052-708-0070,0,2021-03-11,중구,의원
손재일이비인후과의원,울산광역시 중구 유곡로 11 (태화동),052-246-3930,0,2003-10-11,중구,의원
추소아청소년과의원,"울산광역시 중구 다운로 117, 2층 (다운동)",052-223-8875,0,2001-04-13,중구,의원
선비뇨기과의원,"울산광역시 남구 삼산로 25-1, 3층 (신정동)",052-269-0075,2,2001-05-08,남구,의원
나사렛피부과의원,"울산광역시 남구 삼산로 269, 5층 (삼산동, 탑텐클리닉)",052-256-0211,0,2002-04-06,남구,의원
권학수정신건강의학과의원,"울산광역시 남구 삼산중로 67, 4층 (달동, 송호빌딩)",052-256-0875,0,2002-04-16,남구,의원
병영마취통증의학과의원,울산광역시 중구 번영로 580(남외동),052-298-8275,0,2006-02-24,중구,의원
김지선정신건강의학과의원,"울산광역시 남구 삼산중로 65, 4층 (달동, 제일빌딩)",052-265-3456,0,2001-02-12,남구,의원
연세의원,"울산광역시 남구 대암로 69, 3층 (야음동, 신정현대프라자)",052-258-5246,0,2001-01-18,남구,의원
전내과의원,"울산광역시 남구 번영로107번길 1, 3~5층 (달동)",052-267-7272,0,2001-03-13,남구,의원
옥동정형외과의원,울산광역시 남구 문수로 333 (옥동),052-261-0303,0,2010-03-11,남구,의원
울산내과의원,"울산광역시 남구 중앙로 173, 5,6층 (신정동)",052-227-7520,0,2015-07-01,남구,의원
강문수내과의원,울산광역시 남구 대학로 141(무거동),052-249-0645,0,1995-11-09,남구,의원
한소아청소년과의원,"울산광역시 북구 염포로 601, 2층 (양정동, 현대자동차회관)",052-288-0075,0,1997-04-23,북구,의원
봄소아청소년과의원,"울산광역시 북구 매곡1로 15, 3층 (매곡동)",052-286-1311,0,1998-12-14,북구,의원
하나소아청소년과의원,"울산광역시 울주군 범서읍 장검길 10, 3층 (하나소아청소년과의원)",052-232-0123,0,2010-05-18,울주군,의원
한빛이비인후과의원,"울산광역시 북구 제내1길 2, 307호 (신천동, 필그린상가)",052-286-7613,0,2000-04-24,북구,의원
은혜내과의원,"울산광역시 울주군 범서읍 구영로 142, 3층",052-248-3375,0,2006-09-11,울주군,의원
우광훈내과의원,울산광역시 남구 삼산로 260(삼산동),052-268-2090,0,2005-05-19,남구,의원
고운님여성의원,울산광역시 동구 전하로 2 (전하동),052-269-4876,2,2004-03-29,남구,의원
윤영민정형외과의원,"울산광역시 남구 굴화3길 5-3, 지하1,1,2,5층 (무거동)",052-249-9200,7,2002-11-01,남구,의원
느티나무의원,"울산광역시 중구 성안로 192, 2층 (성안동)",052-243-2002,0,2014-11-14,중구,의원
이승욱의원,울산광역시 중구 곽남5길 22(남외동),052-296-9790,0,1996-05-01,중구,의원
윤이비인후과의원,울산광역시 동구 방어진순환도로 1120(서부동),052-236-0765,0,1992-01-09,동구,의원
바른정형외과의원,"울산광역시 남구 돋질로 295, 1,4,5층 (삼산동)",052-227-0999,0,2001-09-29,남구,의원
서울강안과의원,"울산광역시 동구 방어진순환도로 797, 2층 (전하동)",052-236-1677,0,2007-03-07,동구,의원
상쾌한이비인후과의원,"울산광역시 북구 매곡로 115, 2층 202호 (매곡동)",052-281-1231,0,2013-08-09,북구,의원
곽안과의원,"울산광역시 북구 화봉로 58, 402호 (연암동, 신화프라자)",070-7765-0881,0,2014-07-01,북구,의원
연희가정의학과의원,"울산광역시 북구 천곡남로 33, 203호 204호 (천곡동, 삼성코아루상가)",052-295-0800,0,2014-08-18,북구,의원
미라클의원,"울산광역시 울주군 범서읍 구영로 86, 6층 602호 (GM프라자)",052-248-5008,0,2007-11-12,울주군,의원
강앤진안과의원,울산광역시 동구 방어진순환도로 783 (전하동),052-232-8789,0,1987-03-13,동구,의원
조재민이비인후과의원,"울산광역시 울주군 범서읍 천상중앙길 95, 2층 (한솔빌딩)",052-245-0353,0,2002-04-16,울주군,의원
김대연정형외과의원,"울산광역시 중구 명륜로 41, 5층 (태화동, 부익빌딩)",052-211-7550,0,2012-09-19,중구,의원
이강희내과의원,"울산광역시 중구 학성로 125, 1~2층 (옥교동)",052-244-9421,0,1994-08-04,중구,의원
최소영소아청소년과의원,"울산광역시 중구 평동3길 1, 122동 202,203,204호 (유곡동, 울산유곡푸르지오)",052-248-6442,0,2012-09-07,중구,의원
온산정형외과의원,"울산광역시 울주군 온산읍 덕신로 279, 수산업협동조합(온산점) 3,4층",052-707-9111,0,2019-02-11,울주군,의원
이긍용의원,"울산광역시 중구 장춘로 177, 2층 (학산동)",052-246-2223,0,1995-03-09,중구,의원
이상구내과의원,울산광역시 울주군 언양읍 반구대로 818,052-254-2515,0,2009-01-28,울주군,의원
청담그룹의원,울산광역시 울주군 온산읍 덕신로 262,052-700-7722,0,2019-09-30,울주군,의원
명안과의원,울산광역시 남구 번영로 178 (달동),052-273-8511,10,1996-11-12,남구,의원
양지의원,울산광역시 동구 동해안로 49(동부동),052-232-3366,0,2004-07-29,동구,의원
삼성서울피부과의원,"울산광역시 중구 번영로 576, 3층 (남외동)",052-258-7585,0,2012-07-17,중구,의원
